procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2485316 117272 1247728    0    0     0     0 1166  2769 24  1 75  0
 1  0    144 2485836 117272 1247728    0    0     0    16 1152  2140 24  1 75  0
 1  0    144 2485828 117272 1247728    0    0     0     0 1165  1636 24  1 75  0
 1  0    144 2485828 117272 1247728    0    0     0    36 1152  1183 24  1 75  0
 1  0    144 2485828 117272 1247728    0    0     0     0 1162  1182 24  1 75  0
 1  0    144 2483724 117272 1247728    0    0     0     0 1188   967 24  1 75  0
 1  0    144 2483724 117272 1247728    0    0     0    24 1190   904 24  1 75  0
 1  0    144 2483716 117272 1247728    0    0     0     0 1202   925 24  1 75  0
 1  0    144 2483716 117272 1247728    0    0     0    30 1180   888 24  1 75  0
Mon Aug 18 14:51:14 PDT 2008
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2483844 117272 1247728    0    0     1     9    3     0 10  1 88  0
 1  0    144 2483844 117272 1247728    0    0     0     0 1155   819 24  1 75  0
 1  0    144 2482244 117272 1247728    0    0     0     0 1151   794 24  1 75  0
 1  0    144 2482252 117272 1247728    0    0     0    80 1168   836 24  1 75  0
 1  0    144 2482244 117272 1247728    0    0     0     0 1160   865 24  1 75  0
 1  0    144 2482244 117272 1247728    0    0     0    40 1161   907 24  1 75  0
 1  0    144 2482244 117272 1247728    0    0     0     0 1155   836 24  1 75  0
 1  0    144 2482060 117272 1247728    0    0     0     0 1158   820 24  1 75  0
 1  0    144 2482060 117272 1247728    0    0     0    24 1165   915 24  1 75  0
 1  0    144 2481980 117272 1247728    0    0     0     0 1158   928 24  1 75  0
 1  0    144 2481980 117272 1247728    0    0     0    28 1159   897 24  1 75  0
 1  0    144 2481980 117272 1247728    0    0     0     0 1163  2555 24  1 75  0
 1  0    144 2482108 117272 1247728    0    0     0     0 1164  2849 24  1 75  0
 1  0    144 2481932 117272 1247728    0    0     0    16 1155  2780 24  1 75  0
 1  0    144 2481924 117272 1247728    0    0     0     0 1156  3579 24  1 75  0
 1  0    144 2481924 117272 1247728    0    0     0    38 1167  2615 24  1 75  0
 1  0    144 2481924 117272 1247728    0    0     0     2 1156  3254 24  1 75  0
 1  0    144 2481996 117272 1247728    0    0     0     0 1150  2265 24  1 75  0
 1  0    144 2482124 117272 1247728    0    0     0    16 1156  2822 24  1 75  0
 1  0    144 2482116 117272 1247728    0    0     0     0 1156  3015 24  1 75  0
 1  0    144 2482116 117272 1247728    0    0     0    36 1158  2919 24  1 75  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2482052 117272 1247728    0    0     0    22 1166  3148 24  1 75  0
 1  0    144 2482052 117272 1247728    0    0     0     0 1161  1978 24  1 75  0
 1  0    144 2482124 117272 1247728    0    0     0    16 1163  2529 24  1 75  0
 1  0    144 2482116 117272 1247728    0    0     0     0 1159  3263 24  1 75  0
